Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2021,Jonathan Villar,NYM,142,505,18,63,42,14,9.1,26.1,0.167,0.313,0.249,0.322,0.416,0.320,105,3.6,6.8,1.5,2.5,10071
2022,Anthony Santander,BAL,152,647,33,78,89,0,8.5,18.9,0.214,0.248,0.240,0.318,0.455,0.336,120,0.3,14.9,-11.6,2.5,14551
2022,Jurickson Profar,SDP,152,658,15,82,58,5,11.1,15.7,0.148,0.272,0.243,0.331,0.391,0.320,110,-1.4,6.3,-4.6,2.5,10815
2021,Mitch Haniger,SEA,157,691,39,110,100,1,7.8,24.5,0.232,0.281,0.253,0.318,0.485,0.340,121,-1.4,16.1,-14.7,2.5,14274
2021,Ryan McMahon,COL,151,596,23,80,86,6,9.9,24.7,0.195,0.306,0.254,0.331,0.449,0.334,94,-1.6,-6.2,10.7,2.5,15112
2021,Giancarlo Stanton,NYY,139,579,35,64,97,0,10.9,27.1,0.243,0.324,0.273,0.354,0.516,0.370,137,-7.0,19.1,-14.5,2.4,4949
2022,Teoscar Hernandez,TOR,131,535,25,71,77,6,6.4,28.4,0.224,0.335,0.267,0.316,0.491,0.348,129,-2.5,15.0,-8.9,2.4,13066
2022,Anthony Rizzo,NYY,130,548,32,77,75,6,10.6,18.4,0.256,0.216,0.224,0.338,0.480,0.352,132,-3.6,16.4,-10.9,2.4,3473
2022,Justin Turner,LAD,128,532,13,61,81,3,9.4,16.7,0.160,0.313,0.278,0.350,0.438,0.343,123,-3.1,11.4,-6.4,2.4,5235
2022,Ty France,SEA,140,613,20,65,83,0,5.7,15.3,0.162,0.296,0.274,0.338,0.436,0.337,126,-2.8,14.9,-11.6,2.4,17982
2022,Amed Rosario,CLE,153,670,11,86,71,18,3.7,16.6,0.121,0.326,0.283,0.312,0.403,0.311,103,1.5,3.4,-2.2,2.4,15518
2022,Max Muncy,LAD,136,565,21,69,69,2,15.9,25.0,0.188,0.227,0.196,0.329,0.384,0.318,106,2.1,6.3,-2.7,2.4,13301
2022,Gio Urshela,MIN,144,551,13,61,64,1,7.4,17.4,0.144,0.326,0.285,0.338,0.429,0.332,119,-6.2,5.6,-0.7,2.4,10681
2021,Amed Rosario,CLE,141,588,11,77,57,13,5.3,20.4,0.127,0.340,0.282,0.321,0.409,0.315,99,1.2,0.8,2.7,2.4,15518
2021,Jared Walsh,LAA,144,585,29,70,98,2,8.2,26.0,0.232,0.335,0.277,0.340,0.509,0.357,126,-1.1,17.6,-14.2,2.3,18607
2022,Eduardo Escobar,NYM,136,542,20,58,69,0,7.4,23.8,0.190,0.281,0.240,0.295,0.430,0.311,106,3.1,6.9,-3.0,2.3,6153
2021,Mike Yastrzemski,SFG,139,532,25,75,71,4,9.6,24.6,0.233,0.254,0.224,0.311,0.457,0.326,105,3.9,7.2,-1.8,2.3,14854
2021,Robbie Grossman,DET,156,671,23,88,67,20,14.6,23.1,0.176,0.286,0.239,0.357,0.415,0.337,116,2.0,14.8,-14.5,2.3,5254
2022,Bobby Witt Jr.,KCR,150,632,20,82,80,30,4.7,21.4,0.174,0.295,0.254,0.294,0.428,0.311,99,6.8,6.3,-4.3,2.3,25764
2021,Josh Harrison,- - -,138,558,8,58,60,9,5.6,13.4,0.121,0.313,0.279,0.341,0.400,0.325,104,-0.5,2.5,1.7,2.3,8202
2021,Michael Brantley,HOU,121,508,8,68,47,1,6.5,10.4,0.126,0.337,0.311,0.362,0.437,0.347,121,-1.2,12.0,-6.3,2.3,4106
2022,Christian Yelich,MIL,154,671,14,99,57,19,13.1,24.1,0.130,0.327,0.252,0.355,0.383,0.328,111,3.4,11.9,-12.9,2.3,11477
2021,Austin Hays,BAL,131,529,22,73,71,4,5.3,20.2,0.205,0.286,0.256,0.308,0.461,0.328,106,-0.3,3.8,0.7,2.3,19363
2021,C.J. Cron,COL,142,547,28,70,92,1,11.0,21.4,0.249,0.316,0.281,0.375,0.530,0.383,126,-3.2,14.9,-10.8,2.2,12546
2022,Rhys Hoskins,PHI,156,672,30,81,79,2,10.7,25.1,0.216,0.292,0.246,0.332,0.462,0.345,122,-3.4,13.7,-15.1,2.2,16472
2022,Mike Yastrzemski,SFG,148,558,17,73,57,5,10.9,25.3,0.177,0.261,0.214,0.305,0.392,0.307,99,2.6,1.8,0.4,2.2,14854
2022,Ronald Acuna Jr.,ATL,119,533,15,71,50,29,9.9,23.6,0.148,0.331,0.266,0.351,0.413,0.335,114,4.8,13.6,-10.7,2.2,18401
2021,Trent Grisham,SDP,132,527,15,61,62,13,10.2,22.6,0.171,0.292,0.242,0.327,0.413,0.320,103,2.0,4.2,0.0,2.2,18564
2021,Luis Urias,MIL,150,570,23,77,75,5,11.1,20.4,0.196,0.280,0.249,0.345,0.445,0.340,112,-0.7,8.1,-5.9,2.1,16622
2022,Trent Grisham,SDP,152,524,17,58,53,7,10.9,28.6,0.157,0.231,0.184,0.284,0.341,0.280,83,5.8,-4.7,7.4,2.1,18564
2021,Miguel Rojas,MIA,132,539,9,66,48,13,6.9,13.7,0.127,0.295,0.265,0.322,0.392,0.311,96,1.5,-1.3,4.6,2.1,7802
2021,Anthony Rizzo,- - -,141,576,22,73,61,6,9.0,15.1,0.192,0.258,0.248,0.344,0.440,0.339,113,-1.8,7.9,-6.0,2.1,3473
2021,Jonathan Schoop,DET,156,674,22,85,84,2,5.5,19.7,0.157,0.317,0.278,0.320,0.435,0.324,107,-2.1,3.4,-5.2,2.1,11265
2021,Hunter Renfroe,BOS,144,572,31,89,96,1,7.7,22.7,0.242,0.284,0.259,0.315,0.501,0.344,113,-2.6,6.7,-5.9,2.0,15464
2021,Nelson Cruz,- - -,140,584,32,79,86,3,8.7,21.6,0.232,0.286,0.265,0.334,0.497,0.346,123,-1.9,14.7,-14.3,2.0,2434
2022,J.P. Crawford,SEA,145,603,6,57,42,3,11.3,13.3,0.093,0.275,0.243,0.339,0.336,0.306,104,-1.0,1.4,-1.5,2.0,15491
2021,Josh Bell,WSN,144,568,27,75,88,0,11.4,17.8,0.215,0.276,0.261,0.347,0.476,0.352,119,-6.0,7.5,-6.7,2.0,13145
2021,DJ LeMahieu,NYY,150,679,10,84,57,4,10.8,13.8,0.094,0.301,0.268,0.349,0.362,0.315,100,-1.7,-1.6,-1.6,2.0,9874
2022,Javier Baez,DET,144,590,17,64,67,9,4.4,24.9,0.155,0.292,0.238,0.278,0.393,0.291,90,2.5,-4.3,4.4,2.0,12979
2022,Myles Straw,CLE,152,596,0,72,32,21,9.1,14.6,0.052,0.261,0.221,0.291,0.273,0.257,64,7.6,-16.4,16.3,2.0,17620
2021,Alex Verdugo,BOS,146,604,13,88,63,6,8.4,15.9,0.138,0.327,0.289,0.351,0.426,0.334,107,2.0,6.9,-7.7,2.0,17027
2021,Michael A. Taylor,KCR,142,528,12,58,54,14,6.3,27.3,0.112,0.319,0.244,0.297,0.356,0.286,76,0.3,-15.1,16.7,2.0,11489
2022,Josh Bell,- - -,156,647,17,78,71,0,12.5,15.8,0.156,0.296,0.266,0.362,0.422,0.344,123,-5.6,11.3,-14.4,2.0,13145
2021,Jazz Chisholm Jr.,MIA,124,507,18,70,53,23,6.7,28.6,0.177,0.319,0.248,0.303,0.425,0.312,97,3.3,1.2,1.2,1.9,20454
2021,Kyle Farmer,CIN,147,529,16,60,63,2,4.2,18.3,0.153,0.296,0.263,0.316,0.416,0.316,90,-1.5,-8.2,9.1,1.9,14813
2021,Yandy Diaz,TBR,134,541,13,62,64,1,12.8,15.7,0.131,0.286,0.256,0.353,0.387,0.325,111,-2.2,4.8,-4.7,1.9,16578
2022,Seth Brown,OAK,150,555,25,55,73,11,9.2,26.3,0.214,0.273,0.230,0.305,0.444,0.323,117,2.4,12.7,-13.2,1.8,18171
2021,Lourdes Gurriel Jr.,TOR,141,541,21,62,84,1,5.9,18.9,0.190,0.305,0.276,0.319,0.466,0.333,107,-2.0,3.0,-3.9,1.8,19238
2021,Josh Rojas,ARI,139,550,11,69,44,9,10.5,24.9,0.147,0.345,0.264,0.341,0.411,0.327,102,4.6,6.3,-7.2,1.8,19734
2021,David Peralta,ARI,150,538,8,57,63,2,8.6,17.1,0.144,0.303,0.259,0.325,0.402,0.314,94,2.0,-2.2,1.3,1.7,2136
2021,Andrew Benintendi,KCR,134,538,17,63,73,8,6.7,18.0,0.166,0.309,0.276,0.324,0.442,0.328,105,-0.1,3.2,-4.4,1.7,17901
2021,Isiah Kiner-Falefa,TEX,158,677,8,74,53,20,4.1,13.3,0.087,0.304,0.271,0.312,0.357,0.293,84,4.2,-8.9,2.8,1.7,16512
2022,Cody Bellinger,LAD,144,550,19,70,68,14,6.9,27.3,0.179,0.255,0.210,0.265,0.389,0.284,83,4.5,-6.2,3.8,1.7,15998
2021,Nathaniel Lowe,TEX,157,642,18,75,72,8,12.5,25.2,0.151,0.339,0.264,0.357,0.415,0.337,114,-2.2,8.9,-14.0,1.7,19566
2022,Brendan Rodgers,COL,137,581,13,72,63,0,7.9,17.4,0.142,0.304,0.266,0.325,0.408,0.321,92,-1.7,-7.2,3.5,1.7,17907
2021,Jose Iglesias,- - -,137,511,9,65,48,5,4.1,14.7,0.120,0.305,0.271,0.309,0.391,0.304,90,-0.2,-6.8,5.9,1.7,10231
2022,Luis Rengifo,LAA,127,511,17,45,52,6,3.3,15.5,0.166,0.285,0.264,0.294,0.429,0.314,103,1.4,2.8,-3.6,1.6,19858
2021,Austin Meadows,TBR,142,591,27,79,106,4,10.0,20.6,0.224,0.249,0.234,0.315,0.458,0.327,113,-1.7,7.4,-11.3,1.6,15672
2021,Cesar Hernandez,- - -,149,637,21,84,62,1,9.3,21.2,0.154,0.266,0.232,0.308,0.386,0.302,90,0.8,-7.0,1.4,1.6,10556
2022,Josh Donaldson,NYY,132,546,15,59,62,2,9.9,27.1,0.153,0.283,0.222,0.308,0.374,0.302,97,-4.5,-6.6,4.5,1.6,5038
2021,Elvis Andrus,OAK,146,541,3,60,37,12,5.7,15.0,0.076,0.283,0.243,0.294,0.320,0.270,74,4.5,-12.9,10.1,1.6,8709
2022,Ryan Mountcastle,BAL,145,609,22,62,85,4,7.1,25.3,0.173,0.303,0.250,0.305,0.423,0.316,106,0.7,5.0,-9.5,1.6,18373
2022,Austin Hays,BAL,145,582,16,66,60,2,5.8,19.6,0.163,0.289,0.250,0.306,0.413,0.314,105,0.6,3.8,-7.6,1.5,19363
2021,Andrew McCutchen,PHI,144,574,27,78,80,6,14.1,23.0,0.222,0.242,0.222,0.334,0.444,0.335,108,1.5,7.0,-11.2,1.5,9847
2022,Whit Merrifield,- - -,139,550,11,70,58,16,6.9,15.5,0.125,0.276,0.250,0.298,0.375,0.294,88,2.6,-4.6,1.4,1.5,11281
2022,Alec Bohm,PHI,152,631,13,79,72,2,4.9,17.4,0.118,0.319,0.280,0.315,0.398,0.310,98,-0.5,-2.2,-4.9,1.5,21618
2022,Jonathan Schoop,DET,131,510,11,48,38,5,3.7,21.0,0.121,0.234,0.202,0.239,0.322,0.245,57,-0.2,-24.6,22.3,1.5,11265
2022,Tony Kemp,OAK,147,558,7,61,46,11,8.1,12.4,0.099,0.259,0.235,0.307,0.334,0.287,91,4.1,-1.4,-2.3,1.5,14894
2022,Wilmer Flores,SFG,151,602,19,72,71,0,9.8,17.1,0.166,0.246,0.229,0.316,0.394,0.312,103,-1.4,0.5,-7.2,1.4,5827
2022,Ketel Marte,ARI,137,558,12,68,52,5,9.9,18.1,0.167,0.276,0.240,0.321,0.407,0.317,102,-0.9,0.6,-5.8,1.4,13613
2022,Kyle Farmer,CIN,145,583,14,58,78,4,5.7,17.0,0.131,0.286,0.255,0.315,0.386,0.309,92,-4.6,-10.3,4.2,1.4,14813
