HALF.INNING,Outs.Inning,Runs.Inning,Team,Home,Pitcher,SP,R_SP,Estimate,League
MIA201308020 5 1,3,0,MIA,1,shawb001,0,0,-0.009958666604952381,NL
MIA201308020 6 0,3,0,CLE,0,fernj003,0,0,-0.03248285717953297,AL
MIA201308020 6 1,3,0,MIA,1,shawb001,0,0,-0.009958666604952381,NL
MIA201308020 7 0,3,0,CLE,0,fernj003,1,0,-0.03248285717953297,AL
MIA201308020 7 1,3,0,MIA,1,rzepm001,0,0,-0.002273859711930067,NL
MIA201308020 8 0,3,0,CLE,0,fernj003,0,0,-0.03248285717953297,AL
MIA201308020 8 1,3,5,MIA,1,albem001,5,4,-2.1664655416551454e-6,NL
MIA201308020 9 0,3,0,CLE,0,amess001,0,0,5.807977350192667e-4,AL
MIA201308030 1 0,3,1,CLE,0,turnj002,1,1,-0.00244229114425507,AL
MIA201308030 1 1,3,0,MIA,1,mcalz001,0,0,0.0025400237451786447,NL
MIA201308030 2 0,3,0,CLE,0,turnj002,1,0,-0.00244229114425507,AL
MIA201308030 2 1,3,0,MIA,1,mcalz001,0,0,0.0025400237451786447,NL
MIA201308030 3 0,3,1,CLE,0,turnj002,2,1,-0.00244229114425507,AL
MIA201308030 3 1,3,0,MIA,1,mcalz001,0,0,0.0025400237451786447,NL
MIA201308030 4 0,3,0,CLE,0,turnj002,0,0,-0.00244229114425507,AL
MIA201308030 4 1,3,0,MIA,1,mcalz001,0,0,0.0025400237451786447,NL
MIA201308030 5 0,3,0,CLE,0,turnj002,0,0,-0.00244229114425507,AL
MIA201308030 5 1,3,0,MIA,1,mcalz001,0,0,0.0025400237451786447,NL
MIA201308030 6 0,3,0,CLE,0,turnj002,0,0,-0.00244229114425507,AL
MIA201308030 6 1,3,2,MIA,1,mcalz001,3,1,0.0025400237451786447,NL
MIA201308030 7 0,3,2,CLE,0,jennd003,3,2,-0.002815521866487761,AL
MIA201308030 7 1,3,0,MIA,1,allec002,0,0,-0.0036998979037471745,NL
MIA201308030 8 0,3,0,CLE,0,webbr001,1,0,-0.008114443062360985,AL
MIA201308030 8 1,3,0,MIA,1,smitj002,0,0,-0.016631521645166278,NL
MIA201308030 9 0,3,0,CLE,0,dunnm002,0,0,-0.009526801484942886,AL
MIA201308030 9 1,3,1,MIA,1,perec002,3,1,-3.961970428175312e-4,NL
MIA201308040 1 0,3,0,CLE,0,eovan001,0,0,-0.007985313786555629,AL
MIA201308040 1 1,3,0,MIA,1,kazms001,1,0,0.00112850922746746,NL
MIA201308040 2 0,3,1,CLE,0,eovan001,2,1,-0.007985313786555629,AL
MIA201308040 2 1,3,0,MIA,1,kazms001,0,0,0.00112850922746746,NL
MIA201308040 3 0,3,0,CLE,0,eovan001,0,0,-0.007985313786555629,AL
MIA201308040 3 1,3,0,MIA,1,kazms001,0,0,0.00112850922746746,NL
MIA201308040 4 0,3,0,CLE,0,eovan001,0,0,-0.007985313786555629,AL
MIA201308040 4 1,3,0,MIA,1,kazms001,0,0,0.00112850922746746,NL
MIA201308040 5 0,3,0,CLE,0,eovan001,0,0,-0.007985313786555629,AL
MIA201308040 5 1,3,0,MIA,1,kazms001,0,0,0.00112850922746746,NL
MIA201308040 6 0,3,0,CLE,0,eovan001,0,0,-0.007985313786555629,AL
MIA201308040 6 1,3,0,MIA,1,kazms001,0,0,0.00112850922746746,NL
MIA201308040 7 0,3,0,CLE,0,eovan001,2,0,-0.007985313786555629,AL
MIA201308040 7 1,3,0,MIA,1,shawb001,1,0,-0.009958666604952381,NL
MIA201308040 8 0,3,1,CLE,0,qualc001,2,1,-0.01566258778876251,AL
MIA201308040 8 1,3,0,MIA,1,smitj002,0,0,-0.016631521645166278,NL
MIA201308040 9 0,3,0,CLE,0,ramoa001,0,0,-0.005815492419990414,AL
MIA201308040 9 1,3,0,MIA,1,perec002,0,0,-3.961970428175312e-4,NL
MIA201308160 1 0,3,4,SFN,0,eovan001,4,3,-0.007985313786555629,NL
MIA201308160 1 1,3,0,MIA,1,gaudc001,1,0,-0.01088523690428961,NL
MIA201308160 2 0,3,3,SFN,0,eovan001,3,3,-0.007985313786555629,NL
MIA201308160 2 1,3,0,MIA,1,gaudc001,0,0,-0.01088523690428961,NL
MIA201308160 3 0,3,0,SFN,0,eovan001,0,0,-0.007985313786555629,NL
MIA201308160 3 1,3,4,MIA,1,gaudc001,5,3,-0.01088523690428961,NL
MIA201308160 4 0,3,5,SFN,0,eovan001,4,3,-0.007985313786555629,NL
MIA201308160 4 1,3,1,MIA,1,gaudc001,1,0,-0.01088523690428961,NL
MIA201308160 5 0,3,0,SFN,0,webbr001,0,0,-0.008114443062360985,NL
MIA201308160 5 1,3,4,MIA,1,gaudc001,6,4,-0.01088523690428961,NL
MIA201308160 6 0,3,0,SFN,0,webbr001,0,0,-0.008114443062360985,NL
MIA201308160 6 1,3,0,MIA,1,rosas001,0,0,-0.007773586718104571,NL
MIA201308160 7 0,3,2,SFN,0,jennd003,3,2,-0.002815521866487761,NL
MIA201308160 7 1,3,0,MIA,1,rosas001,1,0,-0.007773586718104571,NL
MIA201308160 8 0,3,0,SFN,0,camia001,0,0,-0.006226527080555122,NL
MIA201308160 8 1,3,0,MIA,1,garcj002,1,0,-0.02263462255990794,NL
MIA201308160 9 0,3,0,SFN,0,qualc001,1,0,-0.01566258778876251,NL
MIA201308160 9 1,3,1,MIA,1,zitob001,1,0,0.023872136269225047,NL
MIA201308170 1 0,3,0,SFN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201308170 1 1,3,0,MIA,1,cainm001,0,0,-0.004402734976241946,NL
MIA201308170 2 0,3,0,SFN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201308170 2 1,3,0,MIA,1,cainm001,0,0,-0.004402734976241946,NL
MIA201308170 3 0,3,0,SFN,0,alvah001,1,0,-0.006930499689042433,NL
MIA201308170 3 1,3,0,MIA,1,cainm001,0,0,-0.004402734976241946,NL
MIA201308170 4 0,3,4,SFN,0,alvah001,4,3,-0.006930499689042433,NL
MIA201308170 4 1,3,0,MIA,1,cainm001,2,0,-0.004402734976241946,NL
MIA201308170 5 0,3,0,SFN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201308170 5 1,3,0,MIA,1,cainm001,0,0,-0.004402734976241946,NL
MIA201308170 6 0,3,0,SFN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201308170 6 1,3,2,MIA,1,cainm001,0,0,-0.004402734976241946,NL
MIA201308170 7 0,3,0,SFN,0,alvah001,0,0,-0.006930499689042433,NL
MIA201308170 7 1,3,0,MIA,1,cainm001,0,0,-0.004402734976241946,NL
MIA201308170 8 0,3,2,SFN,0,ramoa001,4,2,-0.005815492419990414,NL
MIA201308170 8 1,3,2,MIA,1,garcj002,2,1,-0.02263462255990794,NL
MIA201308170 9 0,3,0,SFN,0,dunnm002,0,0,-0.009526801484942886,NL
MIA201308170 9 1,3,0,MIA,1,romos001,0,0,-0.007397724830324883,NL
MIA201308180 1 0,3,2,SFN,0,koeht001,0,0,0.0024498379840475286,NL
MIA201308180 1 1,3,0,MIA,1,bumgm001,0,0,-0.025527509949701856,NL
MIA201308180 2 0,3,0,SFN,0,koeht001,1,0,0.0024498379840475286,NL
MIA201308180 2 1,3,0,MIA,1,bumgm001,0,0,-0.025527509949701856,NL
MIA201308180 3 0,3,0,SFN,0,koeht001,0,0,0.0024498379840475286,NL
MIA201308180 3 1,3,1,MIA,1,bumgm001,0,0,-0.025527509949701856,NL
MIA201308180 4 0,3,0,SFN,0,koeht001,1,0,0.0024498379840475286,NL
