N,IP,wOBA_deom,SO,BB_HBP,HR,Single,XBase,H,wOBA_sum,IP_Out,SO_Rate,BB_HBP_Rate,HR_Rate,Single_Rate,XBase_Rate,IP_H_Rate,IP_O_Rate,wOBA,count,strikes,balls,N.Pitches,Type,type
17785,8334,17749,9219,230,282,1757,797,2554,2930.411,5780,51.835816699465845,1.29322462749508,1.5856058476244026,9.879111610908069,4.4813044700590385,30.64554835613151,69.35445164386849,0.16510287903543863,0-2,2,0,2,Pitcher,final
10998,10850,10918,0,145,591,2150,1373,3523,4177.023,7327,0,1.3184215311874887,5.3737043098745225,19.549008910711038,12.484088016002909,32.47004608294931,67.52995391705069,0.38258133357757834,1-0,0,1,1,Batter,final
14063,13880,13971,0,179,690,2963,1668,4631,5358.9749999999995,9249,0,1.2728436322264098,4.906492213610183,21.06947308540141,11.860911612031572,33.36455331412104,66.63544668587896,0.3835784840025767,1-1,1,1,2,Neutral,final
27871,13727,27825,13823,306,494,2890,1368,4258,4862.005999999999,9469,49.596354633848804,1.0979153959312546,1.7724516522550322,10.369200961572961,4.90832765239855,31.019159321046114,68.98084067895388,0.17473516621743035,1-2,2,1,3,Pitcher,final
3956,3916,3949,0,40,297,753,600,1353,1671.3220000000001,2563,0,1.0111223458038423,7.507583417593529,19.03437815975733,15.166835187057634,34.550561797752806,65.4494382022472,0.423226639655609,2-0,0,2,2,Batter,final
8073,8002,8033,0,68,463,1605,1063,2668,3150.9579999999996,5334,0,0.8423138857921466,5.735166604731822,19.881085098476404,13.167347949956646,33.34166458385403,66.65833541614596,0.3922517116892817,2-1,1,2,3,Neutral,final
26420,14045,26395,12095,272,606,2942,1535,4477,5174.9259999999995,9568,45.77971233913702,1.0295230885692657,2.2937168811506434,11.13550340651022,5.80999242997729,31.876112495550018,68.12388750444998,0.1960570562606554,2-2,2,2,4,Pitcher,final
3608,348,2942,0,3260,36,66,67,133,1964.7679999999998,215,0,90.35476718403548,0.9977827050997783,1.829268292682927,1.8569844789356984,38.2183908045977,61.7816091954023,0.6678341264445955,3-0,0,3,3,Batter,final
7950,3455,7909,0,4494,269,636,550,1186,4540.590999999999,2269,0,56.528301886792455,3.3836477987421385,8,6.918238993710692,34.32706222865412,65.67293777134587,0.5741043115438108,3-1,1,3,4,Batter,final
25341,10151,25332,7008,8176,584,2017,1370,3387,9605.101,6764,27.65478868237244,32.26392012943451,2.3045657235310366,7.959433329387159,5.406258632256028,33.36617082060881,66.6338291793912,0.37916867993052267,3-2,2,3,5,Neutral,final
