LA,LS,HR,Predicted,Z,Model_Season,Predict_Season
"(15,20]","(100,105]",35,37.449348893731845,-0.40024739709593654,2016,2018
"(15,20]","(105,110]",100,113.04747916835093,-1.2271458157189903,2016,2018
"(15,20]","(110,115]",56,68.28177868641457,-1.4863081337841735,2016,2018
"(20,25]","(90,95]",5,9.041275592912758,-1.344013448032186,2016,2018
"(20,25]","(95,100]",111,116.93002874474057,-0.5483953584409454,2016,2018
"(20,25]","(100,105]",521,616.9747436992917,-3.863876777162305,2016,2018
"(20,25]","(105,110]",601,648.958942150317,-1.8826127022145216,2016,2018
"(20,25]","(110,115]",146,147.33649545104436,-0.1101063375882821,2016,2018
"(25,30]","(90,95]",55,61.31786478556833,-0.8068202971789697,2016,2018
"(25,30]","(95,100]",380,407.44665947150565,-1.3597344889398084,2016,2018
"(25,30]","(100,105]",948,1003.690348776173,-1.7578429184147961,2016,2018
"(25,30]","(105,110]",551,551.6643245738057,-0.028284132806450382,2016,2018
"(25,30]","(110,115]",99,98.35644598264714,0.06489086926954273,2016,2018
"(30,35]","(90,95]",92,81.44934578565477,1.169056738661942,2016,2018
"(30,35]","(95,100]",346,378.42134133870087,-1.6666452472241453,2016,2018
"(30,35]","(100,105]",599,630.01913726956775,-1.2358132402775606,2016,2018
"(30,35]","(105,110]",311,320.7886400005313,-0.5465285658107826,2016,2018
"(30,35]","(110,115]",34,33.465426174827364,0.09240798709018039,2016,2018
"(35,40]","(90,95]",21,33.13371546299731,-2.1079423891355162,2016,2018
"(35,40]","(95,100]",123,141.0342128508391,-1.5185704746409285,2016,2018
"(35,40]","(100,105]",208,237.0948756262472,-1.889537090270305,2016,2018
"(35,40]","(105,110]",97,111.68608308464833,-1.389653260591759,2016,2018
"(35,40]","(110,115]",9,10.606042985309157,-0.49315163054452477,2016,2018
"(40,45]","(90,95]",6,5.009202889858826,0.4426907219337599,2016,2018
"(40,45]","(95,100]",21,23.862741531617708,-0.5860328621487647,2016,2018
"(40,45]","(100,105]",35,47.83239884183622,-1.855439374327732,2016,2018
"(40,45]","(105,110]",16,24.519942285264353,-1.7205881639327665,2016,2018
"(40,45]","(110,115]",1,2.7262250433160573,-1.0454820033844174,2016,2018
"(15,20]","(90,95]",2,0.24036086368723447,3.589151038289368,2016,2019
"(15,20]","(95,100]",5,4.41859336452092,0.2765909499903694,2016,2019
"(15,20]","(100,105]",59,57.709488194267976,0.16987848158609212,2016,2019
"(15,20]","(105,110]",190,186.54077455415506,0.25327479882802234,2016,2019
"(15,20]","(110,115]",102,97.0675674702172,0.5006383104644135,2016,2019
"(20,25]","(90,95]",12,11.678690334747266,0.09402140097066417,2016,2019
"(20,25]","(95,100]",177,140.30082987344161,3.098318953699669,2016,2019
"(20,25]","(100,105]",752,712.1814841012309,1.4920718262308443,2016,2019
